code,start,end,notes
A,04:00,13:00,
a,04:30,13:30,
B,05:00,14:00,
b,05:30,14:30,
C,06:00,15:00,
c,06:30,15:30,
D,07:00,16:00,
d,07:30,16:30,
E,08:00,17:00,
e,08:30,17:30,
F,09:00,18:00,
F管,09:00,18:00,
f,09:30,18:30,
f管,09:30,18:30,
G,10:00,19:00,
g,10:30,19:30,
H,11:00,20:00,
h,11:30,20:30,
I,12:00,21:00,
i,13:30,21:30,
J,13:00,22:00,
j,13:30,22:30,
K,14:00,23:00,
k,14:30,23:30,
L,15:00,23:59+1,
l,15:30,23:59+1,
M,16:00,00:00+1,
m,16:30,00:30+1,
N,17:00,01:00+1,
n,17:30,01:30+1,
O,18:00,02:00+1,
o,18:30,02:30+1,
P,19:00,03:00+1,
p,19:30,03:30+1,
Q,20:00,04:00+1,
q,20:30,04:30+1,
R,21:00,05:00+1,
r,21:30,05:30+1,
S,22:00,07:00+1,
s,22:30,07:30+1,
T,23:00,08:00+1,
t,23:30,08:30+1,
●,,,
有,,,
